Method,Parameter Types,Param Sizes,Total Param Size
org.mybatis.jpetstore.domain.Item.Item(),[],[],0
org.mybatis.jpetstore.domain.Item.attribute1,[],[],0
org.mybatis.jpetstore.domain.Item.attribute2,[],[],0
org.mybatis.jpetstore.domain.Item.attribute3,[],[],0
org.mybatis.jpetstore.domain.Item.attribute4,[],[],0
org.mybatis.jpetstore.domain.Item.attribute5,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute1(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute2(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute3(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute4(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getAttribute5(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getItemId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getListPrice(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.Item.getProduct(): org.mybatis.jpetstore.domain.Product,[],[],0
org.mybatis.jpetstore.domain.Item.getQuantity(): int,[],[],0
org.mybatis.jpetstore.domain.Item.getStatus(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.getSupplierId(): int,[],[],0
org.mybatis.jpetstore.domain.Item.getUnitCost(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.Item.itemId,[],[],0
org.mybatis.jpetstore.domain.Item.listPrice,[],[],0
org.mybatis.jpetstore.domain.Item.product,[],[],0
org.mybatis.jpetstore.domain.Item.productId,[],[],0
org.mybatis.jpetstore.domain.Item.quantity,[],[],0
org.mybatis.jpetstore.domain.Item.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.Item.setAttribute1(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute2(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute3(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute4(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setAttribute5(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setItemId(java.lang.String): void,['java.lang.String'],[24],24
